Index,Word,Usage,Time
1,flurry ,"You may have hoped that when China reopened and face-to-face contact resumed between politicians, diplomats and businesspeople, Sino-American tensions would ease in a flurry of dinners, summits and small talk.",
2,embitter,But the atmosphere in Beijing just now reveals that the world’s most important relationship has become more embittered and hostile than ever.,
3,denounce,In the halls of government Communist Party officials denounce what they see as America’s bullying. ,
4,intimidation,Western diplomats describe an atmosphere laced with intimidation and paranoia.,
5,Paranoia,,
6,estrangement,The only thing both sides agree on is that the best case is decades of estrangement,
7,inexorable,Each side is following its own inexorable logic.,
8,repression,At home he pursues a policy of repression that defies liberal values.,
9,defy,,
10,autocrats,His meeting with Vladimir Putin this month confirmed that his goal is to build an alternative world order that is friendlier to autocrats.,
11,rejuvenate,"Faced with this, America is understandably accelerating its military containment of China in Asia, rejuvenating old alliances and creating new ones, such as the aukus pact with Australia and Britain.",
12,cripple,"To China’s leaders, this amounts to a scheme to cripple it. ",
13,trample,"Red lines agreed on in the 1970s, when the two countries re-established relations, such as those on Taiwan, are being trampled by ignorant and reckless American politicians. ",
14,prudent,China’s rulers think it only prudent to raise military spending.,
15,deprive,Why should a country whose gdp per head is 83% lower than America’s be deprived of vital technologies,
16,containment,"In commerce, they view American containment as unfair.",
17,Appall,Officials and businesspeople were appalled by the spectacle of TikTok,
18,spectacle,,
19,emigrate,Although some Chinese liberals dream of emigrating,
20,entrenched,"Given two such entrenched and contradictory world-views, it is naive to think that more diplomacy alone can guarantee peace.",
21,naive,,
22,embargo,Embargoes should be saved for sensitive sectors or areas in which China has a chokehold because it is a monopoly supplier,
23,level,"It is the charge that China’s Ministry of Foreign Affairs has levelled against America’s government, without apparent irony.",
24,stagger,"American TikTok users spend a staggering 82 minutes a day on the app, more than on Facebook and Instagram combined.",
25,critique,"For all the critiques of the American-based platforms, at the end of the day, they don’t report to the cia, and they don’t report to the American government",
26,divest," Hence the buzz about forcing ByteDance to divest TikTok, or banning it altogether.",
27,ferret,"In December ByteDance confirmed that employees in China and America improperly accessed TikTok data on journalists, including tracking where they were, in an effort to ferret out their sources. ",
